variable,variable_group,value,label,label_recode,do_not_join
PSPLANS3,PSPLANS,1,Bachelor's degree program (usually a 4-year degree),3 - Bachelor's degree program,0
PSPLANS4,PSPLANS,1,"Graduate degree program (for example, Master's, PhD, MD)",4 - Graduate degree progam,0
PSPLANS5,PSPLANS,1,Another credential program not listed above,5 - Other credential program,0
PSPLANS6,PSPLANS,1,Classes that are not part of a credential program,6 - Classes not part of a program,0
PSCHNG1,PSCHNG,1,Plans to take classes this fall have not changed.,1 - Same or more classes will be taken this fall,0
PSCHNG2,PSCHNG,1,All plans to take classes this fall have been canceled.,2 - All plans to take classes this fall have been canceled,0
PSCHNG3,PSCHNG,1,"Classes will be in different formats in the fall (for example, change from in-person to online).",3 - Classes will be in different formats in the fall,0
PSCHNG4,PSCHNG,1,Fewer classes will be taken this fall.,4 - Fewer classes will be taken this fall,0
PSCHNG5,PSCHNG,1,More classes will be taken this fall.,5 - Same or more classes will be taken this fall,0
PSCHNG6,PSCHNG,1,Classes will be taken from a different institution.,6 - Classes will be taken from a different institution,0
PSCHNG7,PSCHNG,1,Classes will be taken for a different kind of certificate or degree.,7 - Classes will be taken for a different degree,0
PSWHYCHG1,PSWHYCHG,1,Had coronavirus or concerns about getting coronavirus,1 - Concered about getting coronavirus,0
PSWHYCHG2,PSWHYCHG,1,Caring for someone with coronavirus,2 - Caring for someone with coronavirus,0
PSWHYCHG3,PSWHYCHG,1,"Caring for others whose care arrangements are disrupted (e.g., loss of day care or adult care programs)",3 - Caring for others whose care was disrupted or not available,0
PSWHYCHG4,PSWHYCHG,1,"Institution changed content or format of classes (e.g., from in-person to online)",4 - Institution changed content or format of classes or campus life,0
PSWHYCHG5,PSWHYCHG,1,Changes to financial aid,5 - Changes to financial aid,0
PSWHYCHG6,PSWHYCHG,1,Changes to campus life,6 - Changes to campus life,0
PSWHYCHG7,PSWHYCHG,1,Uncertainty about how classes/program might change,7 - Uncertainty about about classes,0
PSWHYCHG8,PSWHYCHG,1,Not able to pay for classes/educational expenses because of changes to income from the pandemic,8 - Not able to pay for classes due to income changes related to pandemic,0
PSWHYCHG9,PSWHYCHG,1,"Some other reason related to the pandemic, please specify",9 - Other reason,0
